orderIdentifier,orderLineNumber,orderType,product.partNumber,shipFromInstructionLocation.locationIdentifier,shipToLocation.locationIdentifier,status,createdDate,requestedShipDate,requestedDeliveryDate,plannedShipDate,plannedDeliveryDate,quantity,quantityUnits,productValue,value,valueCurrency,shipmentCount
100044328,300,OUTBOUND,PS-SL-INFO,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,56,EA,0,0,USD,
100044329,100,OUTBOUND,PS-SL-H310,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,320,EA,1250,400000,USD,
100044329,200,OUTBOUND,PS-SL-KIT,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,320,EA,0,0,USD,
100044329,300,OUTBOUND,PS-SL-INFO,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,320,EA,0,0,USD,
100044330,100,OUTBOUND,PS-SL-F342,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,12,EA,1250,15000,USD,
100044330,200,OUTBOUND,PS-SL-KIT,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,12,EA,0,0,USD,
100044330,300,OUTBOUND,PS-SL-INFO,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,12,EA,0,0,USD,
100044331,100,OUTBOUND,PS-SL-F344,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-04T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,960,EA,1250,1200000,USD,
100044331,200,OUTBOUND,PS-SL-KIT,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-04T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,960,EA,0,0,USD,
100044331,300,OUTBOUND,PS-SL-INFO,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-04T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,960,EA,0,0,USD,
100044332,100,OUTBOUND,PS-SL-A123,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-21T00:00:00,2021-08-27T00:00:00,2021-08-21T00:00:00,2021-08-27T00:00:00,56,EA,1250,70000,USD,
100044332,200,OUTBOUND,PS-SL-KIT,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-21T00:00:00,2021-08-27T00:00:00,2021-08-21T00:00:00,2021-08-27T00:00:00,56,EA,0,0,USD,
100044332,300,OUTBOUND,PS-SL-INFO,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-08-21T00:00:00,2021-08-27T00:00:00,2021-08-21T00:00:00,2021-08-27T00:00:00,56,EA,0,0,USD,
100044333,100,OUTBOUND,PS-SL-F343,LT-2,MAHD - Boston,,2021-06-30T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,132,EA,1250,165000,USD,
100044333,200,OUTBOUND,PS-SL-KIT,LT-2,MAHD - Boston,,2021-06-30T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,132,EA,0,0,USD,
100044333,300,OUTBOUND,PS-SL-INFO,LT-2,MAHD - Boston,,2021-06-30T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,132,EA,0,0,USD,
100044334,100,OUTBOUND,PS-SL-F342,LT-2,MAHD - Boston,,2021-06-30T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,66,EA,1250,82500,USD,
100044334,200,OUTBOUND,PS-SL-KIT,LT-2,MAHD - Boston,,2021-06-30T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,66,EA,0,0,USD,
100044334,300,OUTBOUND,PS-SL-INFO,LT-2,MAHD - Boston,,2021-06-30T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,2021-07-30T00:00:00,2021-08-02T00:00:00,66,EA,0,0,USD,
100044335,100,OUTBOUND,PS-SL-H310,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-20T00:00:00,2021-07-24T00:00:00,2021-07-20T00:00:00,2021-07-24T00:00:00,320,EA,1250,400000,USD,
100044335,200,OUTBOUND,PS-SL-KIT,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-20T00:00:00,2021-07-24T00:00:00,2021-07-20T00:00:00,2021-07-24T00:00:00,320,EA,0,0,USD,
100044335,300,OUTBOUND,PS-SL-INFO,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-20T00:00:00,2021-07-24T00:00:00,2021-07-20T00:00:00,2021-07-24T00:00:00,320,EA,0,0,USD,
100044336,100,OUTBOUND,PS-SL-F342,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,75,EA,1250,93750,USD,
100044336,200,OUTBOUND,PS-SL-KIT,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,75,EA,0,0,USD,
100044336,300,OUTBOUND,PS-SL-INFO,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,75,EA,0,0,USD,
100044337,100,OUTBOUND,PS-SL-F344,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,4,EA,1250,5000,USD,
100044337,200,OUTBOUND,PS-SL-KIT,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,4,EA,0,0,USD,
100044337,300,OUTBOUND,PS-SL-INFO,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,4,EA,0,0,USD,
100044338,100,OUTBOUND,PS-SL-A123,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-30T00:00:00,2021-08-03T00:00:00,2021-07-30T00:00:00,2021-08-03T00:00:00,512,EA,1250,640000,USD,
100044338,200,OUTBOUND,PS-SL-KIT,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-30T00:00:00,2021-08-03T00:00:00,2021-07-30T00:00:00,2021-08-03T00:00:00,512,EA,0,0,USD,
100044338,300,OUTBOUND,PS-SL-INFO,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-30T00:00:00,2021-08-03T00:00:00,2021-07-30T00:00:00,2021-08-03T00:00:00,512,EA,0,0,USD,
100044339,100,OUTBOUND,PS-SL-F342,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,124,EA,1250,155000,USD,
100044339,200,OUTBOUND,PS-SL-KIT,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,124,EA,0,0,USD,
100044339,300,OUTBOUND,PS-SL-INFO,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,124,EA,0,0,USD,
100044340,100,OUTBOUND,PS-SL-F344,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,37,EA,1250,46250,USD,
100044340,200,OUTBOUND,PS-SL-KIT,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,37,EA,0,0,USD,
100044340,300,OUTBOUND,PS-SL-INFO,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,37,EA,0,0,USD,
100044341,100,OUTBOUND,PS-SL-H310,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,320,EA,1250,400000,USD,
100044341,200,OUTBOUND,PS-SL-KIT,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,320,EA,0,0,USD,
100044341,300,OUTBOUND,PS-SL-INFO,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,320,EA,0,0,USD,
100044342,100,OUTBOUND,PS-SL-H310,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,320,EA,1250,400000,USD,
100044342,200,OUTBOUND,PS-SL-KIT,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,320,EA,0,0,USD,
100044342,300,OUTBOUND,PS-SL-INFO,LT-1,NYDOT - New Rochelle,,2021-06-15T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,320,EA,0,0,USD,
100044343,100,OUTBOUND,PS-SL-A123,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,22,EA,1250,27500,USD,
100044343,200,OUTBOUND,PS-SL-KIT,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,22,EA,0,0,USD,
100044343,300,OUTBOUND,PS-SL-INFO,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,22,EA,0,0,USD,
100044344,100,OUTBOUND,PS-SL-A123,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-28T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,302,EA,1250,377500,USD,
100044344,200,OUTBOUND,PS-SL-KIT,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-28T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,302,EA,0,0,USD,
100044344,300,OUTBOUND,PS-SL-INFO,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-28T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,302,EA,0,0,USD,
100044345,100,OUTBOUND,PS-SL-A288,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-06-28T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,22,EA,1250,27500,USD,
100044345,200,OUTBOUND,PS-SL-KIT,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-06-28T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,22,EA,0,0,USD,
100044345,300,OUTBOUND,PS-SL-INFO,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-06-28T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,22,EA,0,0,USD,
100044346,100,OUTBOUND,PS-SL-A288,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,59,EA,1250,73750,USD,
100044346,200,OUTBOUND,PS-SL-KIT,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,59,EA,0,0,USD,
100044346,300,OUTBOUND,PS-SL-INFO,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,59,EA,0,0,USD,
100044347,100,OUTBOUND,PS-SL-F343,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,645,EA,1250,806250,USD,
100044347,200,OUTBOUND,PS-SL-KIT,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,645,EA,0,0,USD,
100044347,300,OUTBOUND,PS-SL-INFO,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,645,EA,0,0,USD,
100044348,100,OUTBOUND,PS-SL-F342,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,54,EA,1250,67500,USD,
100044348,200,OUTBOUND,PS-SL-KIT,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,54,EA,0,0,USD,
100044348,300,OUTBOUND,PS-SL-INFO,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,54,EA,0,0,USD,
100044349,100,OUTBOUND,PS-SL-A123,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-20T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,189,EA,1250,236250,USD,
100044349,200,OUTBOUND,PS-SL-KIT,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-20T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,189,EA,0,0,USD,
100044349,300,OUTBOUND,PS-SL-INFO,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-20T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,189,EA,0,0,USD,
100044350,100,OUTBOUND,PS-SL-A123,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,20,EA,1250,25000,USD,
100044350,200,OUTBOUND,PS-SL-KIT,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,20,EA,0,0,USD,
100044350,300,OUTBOUND,PS-SL-INFO,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,20,EA,0,0,USD,
100044351,100,OUTBOUND,PS-SL-F343,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,68,EA,1250,85000,USD,
100044351,200,OUTBOUND,PS-SL-KIT,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,68,EA,0,0,USD,
100044351,300,OUTBOUND,PS-SL-INFO,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,68,EA,0,0,USD,
100044352,100,OUTBOUND,PS-SL-F342,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,74,EA,1250,92500,USD,
100044352,200,OUTBOUND,PS-SL-KIT,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,74,EA,0,0,USD,
100044352,300,OUTBOUND,PS-SL-INFO,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,74,EA,0,0,USD,
100044353,100,OUTBOUND,PS-SL-A123,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-13T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,212,EA,1250,265000,USD,
100044353,200,OUTBOUND,PS-SL-KIT,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-13T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,212,EA,0,0,USD,
100044353,300,OUTBOUND,PS-SL-INFO,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-13T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,212,EA,0,0,USD,
100044354,100,OUTBOUND,PS-SL-A288,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,208,EA,1250,260000,USD,
100044354,200,OUTBOUND,PS-SL-KIT,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,208,EA,0,0,USD,
100044354,300,OUTBOUND,PS-SL-INFO,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,208,EA,0,0,USD,
100044355,100,OUTBOUND,PS-SL-A287,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,400,EA,1250,500000,USD,
100044355,200,OUTBOUND,PS-SL-KIT,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,400,EA,0,0,USD,
100044355,300,OUTBOUND,PS-SL-INFO,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,400,EA,0,0,USD,
100055000,100,OUTBOUND,CO-CO-M328,LT-2,CALTRAN - San Diego,,2021-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,92,EA,125,11500,USD,
100055000,200,OUTBOUND,CO-DL-T316,LT-2,CALTRAN - San Diego,,2021-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,88,EA,55,4840,USD,
100055000,300,OUTBOUND,CO-DL-A239,LT-2,CALTRAN - San Diego,,2021-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,78,EA,48,3744,USD,
100055001,100,OUTBOUND,CO-AM-S185,LT-2,AHTD - Bentonville,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,57,EA,289,16473,USD,
100055001,200,OUTBOUND,CO-AM-S393,LT-2,AHTD - Bentonville,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,96,EA,183,17568,USD,
100055001,300,OUTBOUND,CO-AM-S185,LT-2,AHTD - Bentonville,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,88,EA,289,25432,USD,
100055002,100,OUTBOUND,CO-AM-S393,LT-2,CALTRAN - San Diego,,2021-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,96,EA,183,17568,USD,
100055002,200,OUTBOUND,CO-CO-M328,LT-2,CALTRAN - San Diego,,2021-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,68,EA,125,8500,USD,
100055002,300,OUTBOUND,CO-DL-T316,LT-2,CALTRAN - San Diego,,2021-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,55,EA,55,3025,USD,
100055003,100,OUTBOUND,CO-DL-A239,LT-2,AHTD - Bentonville,,2021-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,76,EA,48,3648,USD,
100055003,200,OUTBOUND,CO-AM-S185,LT-2,AHTD - Bentonville,,2021-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,92,EA,289,26588,USD,
100055003,300,OUTBOUND,CO-AM-S393,LT-2,AHTD - Bentonville,,2021-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,94,EA,183,17202,USD,
100055004,100,OUTBOUND,CO-AM-S185,LT-2,QPWD - Ville de Québec,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,,,79,EA,289,22831,USD,
100055004,200,OUTBOUND,CO-AM-S393,LT-2,QPWD - Ville de Québec,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,,,84,EA,183,15372,USD,
100055004,300,OUTBOUND,CO-CO-M328,LT-2,QPWD - Ville de Québec,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,,,54,EA,125,6750,USD,
100055005,100,OUTBOUND,CO-DL-T316,LT-2,CALTRAN - San Diego,,2021-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,95,EA,55,5225,USD,
