locationGroupIdentifier,location.locationIdentifier,locationGroupType,locationGroupName,sourceLink
W-US-Supp,Lorel - Sioux Falls,SUPPLIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,Plastilite - Scottsdale,SUPPLIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,Plexilux - Springfield,SUPPLIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,R&J - Vancouver,SUPPLIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,Robinson - Sacramento,SUPPLIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,Rylo - Spiro,SUPPLIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,Southwestern - Woodland,SUPPLIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,Venice - Artesia,SUPPLIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,Dunham - Centralia,CARRIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,TransOceanic - Slater,CARRIER,West US Suppliers,http://lighttree.com/W-US-Supp
W-US-Supp,TranEx - Kansas City,CARRIER,West US Suppliers,http://lighttree.com/W-US-Supp
