orderIdentifier,orderType,vendor.organizationIdentifier,buyer.organizationIdentifier,shipFromInstructionLocation.locationIdentifier,shipToLocation.locationIdentifier,orderStatus,createdDate,requestedShipDate,requestedDeliveryDate,plannedShipDate,plannedDeliveryDate,quantity,quantityUnits,totalValue,orderValueCurrency,lineCount,totalShippedQuantity,exclude,sourceLink
100055009,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,761,EA,62681.00,USD,3,,,http://lighttree.com/100055009
100044345,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-06-28T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,22,EA,27500.00,USD,3,,,http://lighttree.com/100044345
100044346,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,59,EA,73750.00,USD,3,,,http://lighttree.com/100044346
100044347,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,645,EA,806250.00,USD,3,,,http://lighttree.com/100044347
100044348,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,54,EA,67500.00,USD,3,,,http://lighttree.com/100044348
100044325,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,44,EA,55000.00,USD,3,,,http://lighttree.com/100044325
100044326,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,12,EA,15000.00,USD,3,,,http://lighttree.com/100044326
100044327,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-11T00:00:00,12,EA,15000.00,USD,3,,,http://lighttree.com/100044327
100055006,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2017-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,259,EA,18536.00,USD,3,,,http://lighttree.com/100055006
100055008,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2017-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,228,EA,19266.00,USD,3,,,http://lighttree.com/100055008
100044323,OUTBOUND,LightTree,FAA,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-31T00:00:00,2021-09-06T00:00:00,2021-09-03T00:00:00,2021-09-07T00:00:00,250,EA,312500.00,USD,3,,,http://lighttree.com/100044323
100044324,OUTBOUND,LightTree,FAA,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,132,EA,165000.00,USD,3,,,http://lighttree.com/100044324
100055010,OUTBOUND,LightTree,FAA,LT-2,FAA - Washington,,2017-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,488,EA,35137.00,USD,4,,,http://lighttree.com/100055010
100044322,OUTBOUND,LightTree,FAA,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,,,400,EA,500000.00,USD,3,,,http://lighttree.com/100044322
100044335,OUTBOUND,LightTree,KYTC,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-20T00:00:00,2021-07-24T00:00:00,2021-07-20T00:00:00,2021-07-28T00:00:00,320,EA,400000.00,USD,3,,,http://lighttree.com/100044335
100044336,OUTBOUND,LightTree,KYTC,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,75,EA,93750.00,USD,3,,,http://lighttree.com/100044336
100044337,OUTBOUND,LightTree,KYTC,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,4,EA,5000.00,USD,3,,,http://lighttree.com/100044337
1000567212,INBOUND,Flexilux,LightTree,Flexilux - Worcester,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,134288.00,USD,1,,,http://lighttree.com/1000567212
1000567213,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,168.00,USD,1,,,http://lighttree.com/1000567213
1000567215,INBOUND,Alumi-lux,LightTree,Alumi-lux - Nashua,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,,44,EA,20020.00,USD,1,,,http://lighttree.com/1000567215
1000567217,INBOUND,EM,LightTree,EM - Hemphill,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-24T00:00:00,,44,EA,836.00,USD,1,,,http://lighttree.com/1000567217
1000567229,INBOUND,Thermal,LightTree,Thermal - Cincinnati,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,124,EA,6820.00,USD,1,,,http://lighttree.com/1000567229
1000567234,INBOUND,Amos,LightTree,Amos - Philadelphia,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,2420.00,USD,1,,,http://lighttree.com/1000567234
1000567240,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-24T00:00:00,,44,EA,220.00,USD,1,,,http://lighttree.com/1000567240
1000567241,INBOUND,Amos,LightTree,Amos - Philadelphia,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,3080.00,USD,1,,,http://lighttree.com/1000567241
1000567244,INBOUND,EM,LightTree,EM - Hemphill,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,1064.00,USD,1,,,http://lighttree.com/1000567244
1000567248,INBOUND,SA,LightTree,SA - Loretto,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,179200.00,USD,1,,,http://lighttree.com/1000567248
1000567251,INBOUND,SilverOptics,LightTree,SilverOptics - Dover,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,,,44,EA,4752.00,USD,1,,,http://lighttree.com/1000567251
1000567254,INBOUND,Brewers,LightTree,Brewers - Phoenix,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,745472.00,USD,1,,,http://lighttree.com/1000567254
1000567255,INBOUND,Ripley,LightTree,Ripley - Trenton,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,17920.00,USD,1,,,http://lighttree.com/1000567255
1000567262,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,2560.00,USD,1,,,http://lighttree.com/1000567262
1000567264,INBOUND,Ripley,LightTree,Ripley - Trenton,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,,,44,EA,15400.00,USD,1,,,http://lighttree.com/1000567264
1000567268,INBOUND,EM,LightTree,EM - Hemphill,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,9728.00,USD,1,,,http://lighttree.com/1000567268
1000567286,INBOUND,Brewers,LightTree,Brewers - Phoenix,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,56628.00,USD,1,,,http://lighttree.com/1000567286
1000567287,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,210944.00,USD,1,,,http://lighttree.com/1000567287
1000567294,INBOUND,Alumi-lux,LightTree,Alumi-lux - Nashua,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-10T00:00:00,2021-07-14T00:00:00,75,EA,34125.00,USD,1,,,http://lighttree.com/1000567294
1000567306,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,1536.00,USD,1,,,http://lighttree.com/1000567306
1000567310,INBOUND,F & M,LightTree,F & M - Columbus,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,2800.00,USD,1,,,http://lighttree.com/1000567310
1000567311,INBOUND,Hardy,LightTree,Hardy - Salina,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,1800.00,USD,1,,,http://lighttree.com/1000567311
1000567313,INBOUND,F & M,LightTree,F & M - Columbus,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,25600.00,USD,1,,,http://lighttree.com/1000567313
1000567318,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,280.00,USD,1,,,http://lighttree.com/1000567318
1000567320,INBOUND,Brewers,LightTree,Brewers - Phoenix,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,81536.00,USD,1,,,http://lighttree.com/1000567320
1000567323,INBOUND,R&J,LightTree,R&J - Vancouver,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,58050.00,USD,1,,,http://lighttree.com/1000567323
1000567324,INBOUND,McGrey,LightTree,McGrey - Mt Sterling,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,96750.00,USD,1,,,http://lighttree.com/1000567324
1000567325,INBOUND,Ripley,LightTree,Ripley - Trenton,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,163840.00,USD,1,,,http://lighttree.com/1000567325
1000567326,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,30900.00,USD,1,,,http://lighttree.com/1000567326
1000567332,INBOUND,SilverOptics,LightTree,SilverOptics - Dover,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,124,EA,13392.00,USD,1,,,http://lighttree.com/1000567332
1000567334,INBOUND,Brewers,LightTree,Brewers - Phoenix,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,96525.00,USD,1,,,http://lighttree.com/1000567334
1000567335,INBOUND,LightLens,LightTree,LightLens - Ipswich ,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-29T00:00:00,2021-07-03T00:00:00,512,EA,97280.00,USD,1,,,http://lighttree.com/1000567335
1000567338,INBOUND,SilverOptics,LightTree,SilverOptics - Dover,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,48640.00,USD,1,,,http://lighttree.com/1000567338
1000567340,INBOUND,Alumi-lux,LightTree,Alumi-lux - Nashua,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-17T00:00:00,2021-07-21T00:00:00,56,EA,25480.00,USD,1,,,http://lighttree.com/1000567340
1000567342,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,23072.00,USD,1,,,http://lighttree.com/1000567342
1000567349,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,31650.00,USD,1,,,http://lighttree.com/1000567349
1000567350,INBOUND,Flexilux,LightTree,Flexilux - Worcester,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,103356.00,USD,1,,,http://lighttree.com/1000567350
1000567353,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,18568.00,USD,1,,,http://lighttree.com/1000567353
1000567356,INBOUND,Gemini,LightTree,Gemini - Dallas,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,6832.00,USD,1,,,http://lighttree.com/1000567356
1000567363,INBOUND,LightLens,LightTree,LightLens - Ipswich ,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,8932.00,USD,1,,,http://lighttree.com/1000567363
1000567365,INBOUND,F & M,LightTree,F & M - Columbus,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,3750.00,USD,1,,,http://lighttree.com/1000567365
1000567367,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,375.00,USD,1,,,http://lighttree.com/1000567367
1000567369,INBOUND,Flexilux,LightTree,Flexilux - Worcester,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,176175.00,USD,1,,,http://lighttree.com/1000567369
1000567370,INBOUND,SilverOptics,LightTree,SilverOptics - Dover,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,5320.00,USD,1,,,http://lighttree.com/1000567370
1000567371,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,124,EA,52328.00,USD,1,,,http://lighttree.com/1000567371
1000567382,INBOUND,LightLens,LightTree,LightLens - Ipswich ,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,15225.00,USD,1,,,http://lighttree.com/1000567382
1000567388,INBOUND,Total Source,LightTree,Total Source - Waukesha,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,528384.00,USD,1,,,http://lighttree.com/1000567388
1000567391,INBOUND,LightLens,LightTree,LightLens - Ipswich ,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-25T00:00:00,56,EA,10640.00,USD,1,,,http://lighttree.com/1000567391
1000567394,INBOUND,EM,LightTree,EM - Hemphill,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,1425.00,USD,1,,,http://lighttree.com/1000567394
1000567402,INBOUND,Alumi-lux,LightTree,Alumi-lux - Nashua,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,232960.00,USD,1,,,http://lighttree.com/1000567402
1000567403,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,18128.00,USD,1,,,http://lighttree.com/1000567403
1000567407,INBOUND,Gemini,LightTree,Gemini - Dallas,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,62464.00,USD,1,,,http://lighttree.com/1000567407
1000567409,INBOUND,Total Source,LightTree,Total Source - Waukesha,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,57792.00,USD,1,,,http://lighttree.com/1000567409
1000567411,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-24T00:00:00,,44,EA,132.00,USD,1,,,http://lighttree.com/1000567411
1000567414,INBOUND,Amos,LightTree,Amos - Philadelphia,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,4125.00,USD,1,,,http://lighttree.com/1000567414
1000567418,INBOUND,Alumi-lux,LightTree,Alumi-lux - Nashua,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,124,EA,56420.00,USD,1,,,http://lighttree.com/1000567418
1000567420,INBOUND,Gemini,LightTree,Gemini - Dallas,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,9150.00,USD,1,,,http://lighttree.com/1000567420
1000567421,INBOUND,RLP,LightTree,RLP - Troy,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,57344.00,USD,1,,,http://lighttree.com/1000567421
1000567422,INBOUND,Flexilux,LightTree,Flexilux - Worcester,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,1227776.00,USD,1,,,http://lighttree.com/1000567422
1000567429,INBOUND,R&J,LightTree,R&J - Vancouver,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,34056.00,USD,1,,,http://lighttree.com/1000567429
1000567432,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,225.00,USD,1,,,http://lighttree.com/1000567432
1000567434,INBOUND,Amos,LightTree,Amos - Philadelphia,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,124,EA,6820.00,USD,1,,,http://lighttree.com/1000567434
1000567435,INBOUND,F & M,LightTree,F & M - Columbus,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,2200.00,USD,1,,,http://lighttree.com/1000567435
1000567437,INBOUND,RLP,LightTree,RLP - Troy,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,6272.00,USD,1,,,http://lighttree.com/1000567437
1000567443,INBOUND,Total Source,LightTree,Total Source - Waukesha,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,62475.00,USD,1,,,http://lighttree.com/1000567443
1000567446,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,1536.00,USD,1,,,http://lighttree.com/1000567446
1000567448,INBOUND,Amos,LightTree,Amos - Philadelphia,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-25T00:00:00,2021-06-29T00:00:00,512,EA,28160.00,USD,1,,,http://lighttree.com/1000567448
1000567450,INBOUND,Total Source,LightTree,Total Source - Waukesha,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,36652.00,USD,1,,,http://lighttree.com/1000567450
1000567460,INBOUND,Hardy,LightTree,Hardy - Salina,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-24T00:00:00,,44,EA,1056.00,USD,1,,,http://lighttree.com/1000567460
1000567462,INBOUND,Gemini,LightTree,Gemini - Dallas,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,5368.00,USD,1,,,http://lighttree.com/1000567462
1000567463,INBOUND,SilverOptics,LightTree,SilverOptics - Dover,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,8100.00,USD,1,,,http://lighttree.com/1000567463
