shipment.shipmentIdentifier,shipmentLineNumber,shipment.shipmentType,order.orderIdentifier,orderLine.orderLineNumber,dateCreated,quantity,quantityUnits,value,valueCurrency
3004552,200,OUTBOUND,100044342,200,2021-07-09T00:00:00,320,EA,0,USD
3004552,300,OUTBOUND,100044342,300,2021-07-09T00:00:00,320,EA,0,USD
3004553,100,OUTBOUND,100044341,100,2021-07-09T00:00:00,320,EA,400000,USD
3004553,200,OUTBOUND,100044341,200,2021-07-09T00:00:00,320,EA,0,USD
3004553,300,OUTBOUND,100044341,300,2021-07-09T00:00:00,320,EA,0,USD
3004554,100,OUTBOUND,100044340,100,2021-07-17T00:00:00,37,EA,46250,USD
3004554,200,OUTBOUND,100044340,200,2021-07-17T00:00:00,37,EA,0,USD
3004554,300,OUTBOUND,100044340,300,2021-07-17T00:00:00,37,EA,0,USD
3004555,100,OUTBOUND,100044339,100,2021-07-17T00:00:00,124,EA,155000,USD
3004555,200,OUTBOUND,100044339,200,2021-07-17T00:00:00,124,EA,0,USD
3004555,300,OUTBOUND,100044339,300,2021-07-17T00:00:00,124,EA,0,USD
PDSYEW,100,INBOUND,1000567200,100,2021-06-16T00:00:00,320,EA,960,USD
A3YENL,100,INBOUND,1000567204,100,2021-06-16T00:00:00,124,EA,56420,USD
LA91HX,100,INBOUND,1000567205,100,2021-06-16T00:00:00,320,EA,145600,USD
2B73C9,100,INBOUND,1000567207,100,2021-06-16T00:00:00,124,EA,2356,USD
LHR1AR,100,INBOUND,1000567209,100,2021-06-16T00:00:00,320,EA,1600,USD
G4Y8MN,100,INBOUND,1000567210,100,2021-06-16T00:00:00,320,EA,316800,USD
973FIR,100,INBOUND,1000567218,100,2021-06-16T00:00:00,124,EA,51088,USD
0FBQ1N,100,INBOUND,1000567227,100,2021-06-16T00:00:00,320,EA,960,USD
Y30T49,100,INBOUND,1000567228,100,2021-06-16T00:00:00,320,EA,17600,USD
KE5MQN,100,INBOUND,1000567230,100,2021-06-16T00:00:00,124,EA,13392,USD
36O46H,100,INBOUND,1000567231,100,2021-06-16T00:00:00,320,EA,64960,USD
WFF5PK,100,INBOUND,1000567232,100,2021-06-16T00:00:00,124,EA,15128,USD
0KTK5E,100,INBOUND,1000567238,100,2021-06-16T00:00:00,124,EA,372,USD
7EGXYZ,100,INBOUND,1000567242,100,2021-06-16T00:00:00,124,EA,117800,USD
ZQV8Q9,100,INBOUND,1000567256,100,2021-06-16T00:00:00,320,EA,1769600,USD
79GPS3,100,INBOUND,1000567257,100,2021-06-16T00:00:00,124,EA,569408,USD
32MRIP,100,INBOUND,1000567259,100,2021-06-16T00:00:00,320,EA,60480,USD
UKNVOM,100,INBOUND,1000567261,100,2021-06-16T00:00:00,320,EA,145600,USD
YLRWC5,100,INBOUND,1000567266,100,2021-06-16T00:00:00,320,EA,16000,USD
YFI6F7,100,INBOUND,1000567274,100,2021-06-16T00:00:00,320,EA,64960,USD
PR0GPV,100,INBOUND,1000567276,100,2021-06-16T00:00:00,320,EA,1769600,USD
E9WDEX,100,INBOUND,1000567278,100,2021-06-16T00:00:00,320,EA,411840,USD
ZZXTYM,100,INBOUND,1000567279,100,2021-06-16T00:00:00,124,EA,372,USD
VJA70K,100,INBOUND,1000567283,100,2021-06-16T00:00:00,320,EA,39040,USD
TS6OEK,100,INBOUND,1000567291,100,2021-06-16T00:00:00,320,EA,16000,USD
7T5KB3,100,INBOUND,1000567292,100,2021-06-16T00:00:00,320,EA,312320,USD
44IT2T,100,INBOUND,1000567295,100,2021-06-16T00:00:00,64,EA,1536,USD
44IT2U,100,INBOUND,1000567295,200,2021-06-16T00:00:00,256,EA,6144,USD
I9QAXZ,100,INBOUND,1000567296,100,2021-06-16T00:00:00,25,EA,1375,USD
I9QAX1,100,INBOUND,1000567296,200,2021-06-16T00:00:00,99,EA,5445,USD
55G1DB,100,INBOUND,1000567308,100,2021-06-16T00:00:00,124,EA,372,USD
F809AI,100,INBOUND,1000567312,100,2021-06-16T00:00:00,124,EA,2356,USD
K8QVS4,100,INBOUND,1000567314,100,2021-06-16T00:00:00,124,EA,121024,USD
5Q5V0J,100,INBOUND,1000567315,100,2021-06-16T00:00:00,320,EA,34560,USD
ZY8L3E,100,INBOUND,1000567319,100,2021-06-16T00:00:00,320,EA,39040,USD
MM0RMM,100,INBOUND,1000567321,100,2021-06-16T00:00:00,320,EA,411840,USD
WZKLR3,100,INBOUND,1000567327,100,2021-06-16T00:00:00,320,EA,135040,USD
EH02I3,100,INBOUND,1000567336,100,2021-06-16T00:00:00,124,EA,180048,USD
U35XGJ,100,INBOUND,1000567346,100,2021-06-16T00:00:00,320,EA,960,USD
ZJT3WS,100,INBOUND,1000567351,100,2021-06-16T00:00:00,124,EA,121024,USD
ASO95K,100,INBOUND,1000567364,100,2021-06-16T00:00:00,320,EA,135040,USD
0JBLJR,100,INBOUND,1000567374,100,2021-06-16T00:00:00,320,EA,6080,USD
9D7MHU,100,INBOUND,1000567376,100,2021-06-16T00:00:00,32,EA,11200,USD
9D7MHV,100,INBOUND,1000567376,200,2021-06-16T00:00:00,288,EA,100800,USD
4NJ8UK,100,INBOUND,1000567378,100,2021-06-16T00:00:00,124,EA,620,USD
ABCDM9,100,INBOUND,1000567383,100,2021-06-16T00:00:00,124,EA,372,USD
QAT3ET,100,INBOUND,1000567387,100,2021-06-16T00:00:00,124,EA,2976,USD
M0FCPA,100,INBOUND,1000567392,100,2021-06-16T00:00:00,124,EA,15128,USD
7Z2D5S,100,INBOUND,1000567397,100,2021-06-16T00:00:00,124,EA,52328,USD
NT5MFK,100,INBOUND,1000567399,100,2021-06-16T00:00:00,320,EA,131840,USD
UPIJ07,100,INBOUND,1000567405,100,2021-06-16T00:00:00,320,EA,960,USD
4Q9CS9,100,INBOUND,1000567415,100,2021-06-16T00:00:00,320,EA,60480,USD
PICVTB,100,INBOUND,1000567416,100,2021-06-16T00:00:00,320,EA,1600,USD
H3PCI9,100,INBOUND,1000567417,100,2021-06-16T00:00:00,124,EA,2976,USD
8R5WD0,100,INBOUND,1000567419,100,2021-06-16T00:00:00,124,EA,25172,USD
IKI0FP,100,INBOUND,1000567423,100,2021-06-16T00:00:00,62,EA,21700,USD
IKI0FQ,100,INBOUND,1000567423,200,2021-06-16T00:00:00,62,EA,21700,USD
QWFGRT,100,INBOUND,1000567424,100,2021-06-16T00:00:00,124,EA,159588,USD
B7JD31,100,INBOUND,1000567425,100,2021-06-16T00:00:00,320,EA,34560,USD
JT7TNN,100,INBOUND,1000567428,100,2021-06-16T00:00:00,124,EA,620,USD
7ZV8EK,100,INBOUND,1000567430,100,2021-06-16T00:00:00,128,EA,44800,USD
7ZV8EL,100,INBOUND,1000567430,200,2021-06-16T00:00:00,192,EA,67200,USD
CUPZ5U,100,INBOUND,1000567438,100,2021-06-16T00:00:00,124,EA,25172,USD
EFRJRZ,100,INBOUND,1000567442,100,2021-06-16T00:00:00,124,EA,6200,USD
4D6XV3,100,INBOUND,1000567449,100,2021-06-16T00:00:00,124,EA,6820,USD
ONUOBB,100,INBOUND,1000567451,100,2021-06-16T00:00:00,320,EA,17600,USD
MIVWTU,100,INBOUND,1000567459,100,2021-06-16T00:00:00,124,EA,51088,USD
2IRMPA,100,INBOUND,1000567461,100,2021-06-16T00:00:00,320,EA,17600,USD
Y0F0H1,100,INBOUND,1000567464,100,2021-06-16T00:00:00,320,EA,17600,USD
REYPGS,100,INBOUND,1000567468,100,2021-06-16T00:00:00,320,EA,131840,USD
EGI6OK,100,INBOUND,1000567473,100,2021-06-16T00:00:00,124,EA,180048,USD
R449WJ,100,INBOUND,1000567476,100,2021-06-16T00:00:00,320,EA,6080,USD
0I262B,100,INBOUND,1000567477,100,2021-06-16T00:00:00,320,EA,7680,USD
YH8EKK,100,INBOUND,1000567478,100,2021-06-16T00:00:00,320,EA,312320,USD
2GB5GW,100,INBOUND,1000567481,100,2021-06-16T00:00:00,320,EA,316800,USD
H5E0NL,100,INBOUND,1000567483,100,2021-06-16T00:00:00,124,EA,159588,USD
6DQOKI,100,INBOUND,1000567484,100,2021-06-16T00:00:00,124,EA,569408,USD
Y7MOKZ,100,INBOUND,1000567490,100,2021-06-16T00:00:00,124,EA,117800,USD
A9AM23,100,INBOUND,1000567495,100,2021-06-16T00:00:00,124,EA,6200,USD
I6WQ1J,100,INBOUND,1000567212,100,2021-07-08T00:00:00,34,EA,81532,USD
I6WQ1K,100,INBOUND,1000567212,100,2021-07-08T00:00:00,22,EA,52756,USD
Y05B3G,100,INBOUND,1000567213,100,2021-07-08T00:00:00,56,EA,168,USD
7BRMDR,100,INBOUND,1000567215,100,2021-07-15T00:00:00,44,EA,20020,USD
KMEZ3K,100,INBOUND,1000567217,100,2021-07-15T00:00:00,44,EA,836,USD
K84O37,100,INBOUND,1000567229,100,2021-06-16T00:00:00,124,EA,6820,USD
MR4PUF,100,INBOUND,1000567234,100,2021-07-15T00:00:00,44,EA,2420,USD
JHP2S4,100,INBOUND,1000567240,100,2021-07-15T00:00:00,18,EA,90,USD
JHP2S5,100,INBOUND,1000567240,100,2021-07-15T00:00:00,26,EA,130,USD
XWFGBJ,100,INBOUND,1000567241,100,2021-07-08T00:00:00,56,EA,3080,USD
ZYY47F,100,INBOUND,1000567244,100,2021-07-08T00:00:00,56,EA,1064,USD
QMQXK8,100,INBOUND,1000567248,100,2021-06-16T00:00:00,512,EA,179200,USD
EV9PPA,100,INBOUND,1000567251,100,2021-07-15T00:00:00,44,EA,4752,USD
M59RMB,100,INBOUND,1000567254,100,2021-06-16T00:00:00,512,EA,745472,USD
186MCN,100,INBOUND,1000567255,100,2021-07-08T00:00:00,56,EA,17920,USD
A1DL1G,100,INBOUND,1000567262,100,2021-06-16T00:00:00,512,EA,2560,USD
O5A7NN,100,INBOUND,1000567264,100,2021-07-15T00:00:00,44,EA,15400,USD
FEH4YT,100,INBOUND,1000567268,100,2021-06-16T00:00:00,512,EA,9728,USD
FHA3V,100,INBOUND,1000567286,100,2021-07-15T00:00:00,44,EA,56628,USD
TSKNHT,100,INBOUND,1000567287,100,2021-06-16T00:00:00,512,EA,210944,USD
7BQMDR,100,INBOUND,1000567294,100,2021-06-29T00:00:00,75,EA,34125,USD
KXNVMR,100,INBOUND,1000567306,100,2021-06-16T00:00:00,512,EA,1536,USD
CXI2CP,100,INBOUND,1000567310,100,2021-07-08T00:00:00,56,EA,2800,USD
OF5NOJ,100,INBOUND,1000567311,100,2021-06-29T00:00:00,75,EA,1800,USD
LAVMSR,100,INBOUND,1000567313,100,2021-06-16T00:00:00,512,EA,25600,USD
GNHM3F,100,INBOUND,1000567318,100,2021-07-08T00:00:00,56,EA,280,USD
F8K3XF,100,INBOUND,1000567320,100,2021-07-08T00:00:00,56,EA,81536,USD
XV1VVC,100,INBOUND,1000567323,100,2021-06-29T00:00:00,75,EA,58050,USD
Y9JOYM,100,INBOUND,1000567324,100,2021-06-29T00:00:00,75,EA,96750,USD
WUO0O7,100,INBOUND,1000567325,100,2021-06-16T00:00:00,512,EA,163840,USD
X5LUSC,100,INBOUND,1000567326,100,2021-06-29T00:00:00,75,EA,30900,USD
JHQ7CZ,100,INBOUND,1000567332,100,2021-06-16T00:00:00,124,EA,13392,USD
FHAHRV,100,INBOUND,1000567334,100,2021-06-29T00:00:00,75,EA,96525,USD
2I8M66,100,INBOUND,1000567335,100,2021-06-16T00:00:00,512,EA,97280,USD
ZT4OZ6,100,INBOUND,1000567338,100,2021-06-16T00:00:00,512,EA,48640,USD
QN3LWG,100,INBOUND,1000567340,100,2021-07-08T00:00:00,56,EA,25480,USD
69KATE,100,INBOUND,1000567342,100,2021-07-08T00:00:00,56,EA,23072,USD
HKC3U5,100,INBOUND,1000567349,100,2021-06-29T00:00:00,75,EA,31650,USD
A2Z873,100,INBOUND,1000567350,100,2021-07-15T00:00:00,44,EA,103356,USD
HKD3U5,100,INBOUND,1000567353,100,2021-07-15T00:00:00,18,EA,7596,USD
HKD3U6,100,INBOUND,1000567353,100,2021-07-15T00:00:00,26,EA,10972,USD
EEU2OZ,100,INBOUND,1000567356,100,2021-07-08T00:00:00,56,EA,6832,USD
W7LKE4,100,INBOUND,1000567363,100,2021-07-15T00:00:00,44,EA,8932,USD
LBM8DO,100,INBOUND,1000567365,100,2021-06-29T00:00:00,75,EA,3750,USD
JHPBS4,100,INBOUND,1000567367,100,2021-06-29T00:00:00,75,EA,375,USD
22Z873,100,INBOUND,1000567369,100,2021-06-29T00:00:00,75,EA,176175,USD
7GMW0P,100,INBOUND,1000567370,100,2021-07-08T00:00:00,56,EA,5320,USD
KKVIJA,100,INBOUND,1000567371,100,2021-06-16T00:00:00,124,EA,52328,USD
W7LKC4,100,INBOUND,1000567382,100,2021-06-29T00:00:00,75,EA,15225,USD
ONQWAR,100,INBOUND,1000567388,100,2021-06-16T00:00:00,512,EA,528384,USD
NTIP9U,100,INBOUND,1000567391,100,2021-07-08T00:00:00,56,EA,10640,USD
KMEZXK,100,INBOUND,1000567394,100,2021-06-29T00:00:00,75,EA,1425,USD
Z7XX5W,100,INBOUND,1000567402,100,2021-06-16T00:00:00,512,EA,232960,USD
X5L4SC,100,INBOUND,1000567403,100,2021-07-15T00:00:00,44,EA,18128,USD
DW5V57,100,INBOUND,1000567407,100,2021-06-16T00:00:00,512,EA,62464,USD
WHS04B,100,INBOUND,1000567409,100,2021-07-08T00:00:00,56,EA,57792,USD
JN6VI0,100,INBOUND,1000567411,100,2021-07-15T00:00:00,44,EA,132,USD
MRUPUF,100,INBOUND,1000567414,100,2021-06-29T00:00:00,75,EA,4125,USD
2ALW30,100,INBOUND,1000567418,100,2021-06-16T00:00:00,124,EA,56420,USD
6FAA2G,100,INBOUND,1000567420,100,2021-06-29T00:00:00,75,EA,9150,USD
GLABQ9,100,INBOUND,1000567421,100,2021-06-16T00:00:00,512,EA,57344,USD
MU410G,100,INBOUND,1000567422,100,2021-06-16T00:00:00,512,EA,1227776,USD
XV1YVC,100,INBOUND,1000567429,100,2021-07-15T00:00:00,44,EA,34056,USD
TEYYNK,100,INBOUND,1000567432,100,2021-06-29T00:00:00,75,EA,225,USD
X5DIN1,100,INBOUND,1000567434,100,2021-06-16T00:00:00,124,EA,6820,USD
LBM8RO,100,INBOUND,1000567435,100,2021-07-15T00:00:00,44,EA,2200,USD
O1CA0D,100,INBOUND,1000567437,100,2021-07-08T00:00:00,56,EA,6272,USD
8GZ85E,100,INBOUND,1000567443,100,2021-06-29T00:00:00,75,EA,62475,USD
8I3OIA,100,INBOUND,1000567446,100,2021-06-16T00:00:00,512,EA,1536,USD
TRDKRG,100,INBOUND,1000567448,100,2021-06-16T00:00:00,512,EA,28160,USD
8GZ81E,100,INBOUND,1000567450,100,2021-07-15T00:00:00,44,EA,36652,USD
RF5NOJ,100,INBOUND,1000567460,100,2021-07-15T00:00:00,44,EA,1056,USD
6FA52G,100,INBOUND,1000567462,100,2021-07-15T00:00:00,44,EA,5368,USD
EV9PPV,100,INBOUND,1000567463,100,2021-06-29T00:00:00,75,EA,8100,USD
7LMIBB,100,INBOUND,1000567467,100,2021-06-16T00:00:00,512,EA,12288,USD
00NYVK,100,INBOUND,1000567470,100,2021-07-08T00:00:00,56,EA,168,USD
0NCCWS,100,INBOUND,1000567471,100,2021-06-16T00:00:00,512,EA,604160,USD
JN3VI0,100,INBOUND,1000567474,100,2021-06-29T00:00:00,75,EA,225,USD
OUA7NN,100,INBOUND,1000567475,100,2021-06-29T00:00:00,75,EA,26250,USD
U9REQF,100,INBOUND,1000567479,100,2021-07-08T00:00:00,56,EA,19600,USD
FJMDL6,100,INBOUND,1000567482,100,2021-07-08T00:00:00,56,EA,1344,USD
YUJOYM,100,INBOUND,1000567486,100,2021-07-15T00:00:00,44,EA,56760,USD
Y15P9J,100,INBOUND,1000567494,100,2021-06-16T00:00:00,124,EA,43400,USD
TRYYNK,100,INBOUND,1000567497,100,2021-07-15T00:00:00,44,EA,132,USD
ANQWZY,100,INBOUND,1000567500,100,2021-07-08T00:00:00,56,EA,66080,USD
